EID,Title,URL
661493435,"Rise of the Comedians | 2 Bears, 1 Cave Ep. 180","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH8936115295.mp3?updated=1707417539"
661493434,"Bert’s Biggest Fears | 2 Bears, 1 Cave Ep. 179","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH7907753829.mp3?updated=1704910758"
661493433,"Chrissy New Glasses w/ Chris Distefano | 2 Bears, 1 Cave Ep. 178","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH3032899060.mp3?updated=1704910895"
661493432,"Bonus: Live from MGM Grand in Las Vegas | 2 Bears, 1 Cave","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH6839783979.mp3?updated=1707429517"
661493430,"Losing Your Virginity w/ Adam Devine | 2 Bears, 1 Cave Ep. 177","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH8517477888.mp3?updated=1704911817"
661493429,"Awful Radio Shows w/ David Cross | 2 Bears, 1 Cave Ep. 176","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH4287461886.mp3?updated=1704911979"
661493428,"TikTok Fiasco w/ Howie Mandel | 2 Bears, 1 Cave Ep. 175","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH4764130949.mp3?updated=1707418810"
661493427,"The Daily Stoic w/ Ryan Holiday | 2 Bears, 1 Cave Ep. 174","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH5530473156.mp3?updated=1704912389"
661493426,"Dana's World w/ Dana Carvey | 2 Bears, 1 Cave Ep. 173","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH9003149596.mp3?updated=1704912533"
661493425,"Sexual Athlete w/ Adriana Chechik | 2 Bears, 1 Cave Ep. 172","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH6306591835.mp3?updated=1704912791"
